ConfigRuleName,SourceIdentifier
access-keys-rotated,ACCESS_KEYS_ROTATED
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
encrypted-volumes,ENCRYPTED_VOLUMES
iam-no-inline-policy-check,IAM_NO_INLINE_POLICY_CHECK
iam-password-policy,IAM_PASSWORD_POLICY
iam-policy-no-statements-with-admin-access,IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
iam-root-access-key-check,IAM_ROOT_ACCESS_KEY_CHECK
iam-user-group-membership-check,IAM_USER_GROUP_MEMBERSHIP_CHECK
iam-user-no-policies-check,IAM_USER_NO_POLICIES_CHECK
iam-user-unused-credentials-check,IAM_USER_UNUSED_CREDENTIALS_CHECK
mfa-enabled-for-iam-console-access,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
multi-region-cloudtrail-enabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
restricted-common-ports,RESTRICTED_INCOMING_TRAFFIC
root-account-mfa-enabled,ROOT_ACCOUNT_MFA_ENABLED
s3-account-level-public-access-blocks,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS
s3-bucket-logging-enabled,S3_BUCKET_LOGGING_ENABLED
s3-bucket-policy-grantee-check,S3_BUCKET_POLICY_GRANTEE_CHECK
s3-bucket-public-read-prohibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
s3-bucket-public-write-prohibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
s3-bucket-server-side-encryption-enabled,S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED
account-contact-details-configured,AWS_CONFIG_PROCESS_CHECK
account-security-contact-configured,AWS_CONFIG_PROCESS_CHECK
account-security-questions-configured,AWS_CONFIG_PROCESS_CHECK
root-account-regular-use,AWS_CONFIG_PROCESS_CHECK
iam-user-console-and-api-access-at-creation,AWS_CONFIG_PROCESS_CHECK
iam-user-single-access-key,AWS_CONFIG_PROCESS_CHECK
iam-support-role-created,AWS_CONFIG_PROCESS_CHECK
iam-expired-certificates,AWS_CONFIG_PROCESS_CHECK
iam-access-analyzer-enabled,AWS_CONFIG_PROCESS_CHECK
config-enabled-all-regions,AWS_CONFIG_PROCESS_CHECK
alarm-unauthorized-api-calls,AWS_CONFIG_PROCESS_CHECK
alarm-sign-in-without-mfa,AWS_CONFIG_PROCESS_CHECK
alarm-root-account-use,AWS_CONFIG_PROCESS_CHECK
alarm-iam-policy-change,AWS_CONFIG_PROCESS_CHECK
alarm-cloudtrail-config-change,AWS_CONFIG_PROCESS_CHECK
alarm-s3-bucket-policy-change,AWS_CONFIG_PROCESS_CHECK
alarm-vpc-network-gateway-change,AWS_CONFIG_PROCESS_CHECK
alarm-vpc-route-table-change,AWS_CONFIG_PROCESS_CHECK
alarm-vpc-change,AWS_CONFIG_PROCESS_CHECK
alarm-organizations-change,AWS_CONFIG_PROCESS_CHECK
vpc-networkacl-open-admin-ports,AWS_CONFIG_PROCESS_CHECK
