ConfigRuleName,SourceIdentifier
alb-http-to-https-redirection-check,ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK
alb-waf-enabled,ALB_WAF_ENABLED
api-gw-associated-with-waf,API_GW_ASSOCIATED_WITH_WAF
api-gw-cache-enabled-and-encrypted,API_GW_CACHE_ENABLED_AND_ENCRYPTED
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
api-gw-ssl-enabled,API_GW_SSL_ENABLED
autoscaling-launch-config-public-ip-disabled,AUTOSCALING_LAUNCH_CONFIG_PUBLIC_IP_DISABLED
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloud-trail-encryption-enabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
cloud-trail-log-file-validation-enabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
cloudwatch-log-group-encrypted,CLOUDWATCH_LOG_GROUP_ENCRYPTED
cmk-backing-key-rotation-enabled,CMK_BACKING_KEY_ROTATION_ENABLED
codebuild-project-envvar-awscred-check,CODEBUILD_PROJECT_ENVVAR_AWSCRED_CHECK
codebuild-project-source-repo-url-check,CODEBUILD_PROJECT_SOURCE_REPO_URL_CHECK
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-managedinstance-association-compliance-status-check,EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK
ec2-managedinstance-patch-compliance-status-check,EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK
ec2-security-group-attached-to-eni,EC2_SECURITY_GROUP_ATTACHED_TO_ENI
ec2-stopped-instance,EC2_STOPPED_INSTANCE
ec2-volume-inuse-check,EC2_VOLUME_INUSE_CHECK
ecs-task-definition-user-for-host-mode-check,ECS_TASK_DEFINITION_USER_FOR_HOST_MODE_CHECK
efs-encrypted-check,EFS_ENCRYPTED_CHECK
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
eip-attached,EIP_ATTACHED
elastic-beanstalk-managed-updates-enabled,ELASTIC_BEANSTALK_MANAGED_UPDATES_ENABLED
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
elasticsearch-encrypted-at-rest,ELASTICSEARCH_ENCRYPTED_AT_REST
elasticsearch-in-vpc-only,ELASTICSEARCH_IN_VPC_ONLY
elasticsearch-logs-to-cloudwatch,ELASTICSEARCH_LOGS_TO_CLOUDWATCH
elasticsearch-node-to-node-encryption-check,ELASTICSEARCH_NODE_TO_NODE_ENCRYPTION_CHECK
elb-acm-certificate-required,ELB_ACM_CERTIFICATE_REQUIRED
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-deletion-protection-enabled,ELB_DELETION_PROTECTION_ENABLED
elb-logging-enabled,ELB_LOGGING_ENABLED
elb-tls-https-listeners-only,ELB_TLS_HTTPS_LISTENERS_ONLY
emr-master-no-public-ip,EMR_MASTER_NO_PUBLIC_IP
encrypted-volumes,ENCRYPTED_VOLUMES
guardduty-enabled-centralized,GUARDDUTY_ENABLED_CENTRALIZED
iam-password-policy,IAM_PASSWORD_POLICY
iam-policy-no-statements-with-admin-access,IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
iam-policy-no-statements-with-full-access,IAM_POLICY_NO_STATEMENTS_WITH_FULL_ACCESS
iam-root-access-key-check,IAM_ROOT_ACCESS_KEY_CHECK
iam-user-mfa-enabled,IAM_USER_MFA_ENABLED
restricted-ssh,INCOMING_SSH_DISABLED
internet-gateway-authorized-vpc-only,INTERNET_GATEWAY_AUTHORIZED_VPC_ONLY
kms-cmk-not-scheduled-for-deletion,KMS_CMK_NOT_SCHEDULED_FOR_DELETION
lambda-function-public-access-prohibited,LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED
lambda-inside-vpc,LAMBDA_INSIDE_VPC
mfa-enabled-for-iam-console-access,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
multi-region-cloudtrail-enabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
