ConfigRuleName,SourceIdentifier
autoscaling-launch-config-public-ip-disabled,AUTOSCALING_LAUNCH_CONFIG_PUBLIC_IP_DISABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
elasticsearch-in-vpc-only,ELASTICSEARCH_IN_VPC_ONLY
emr-master-no-public-ip,EMR_MASTER_NO_PUBLIC_IP
ec2-instances-in-vpc,INSTANCES_IN_VPC
lambda-function-public-access-prohibited,LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED
lambda-inside-vpc,LAMBDA_INSIDE_VPC
no-unrestricted-route-to-igw,NO_UNRESTRICTED_ROUTE_TO_IGW
opensearch-in-vpc-only,OPENSEARCH_IN_VPC_ONLY
rds-instance-public-access-check,RDS_INSTANCE_PUBLIC_ACCESS_CHECK
rds-snapshots-public-prohibited,RDS_SNAPSHOTS_PUBLIC_PROHIBITED
redshift-cluster-public-access-check,REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK
s3-account-level-public-access-blocks-periodic,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS_PERIODIC
s3-bucket-level-public-access-prohibited,S3_BUCKET_LEVEL_PUBLIC_ACCESS_PROHIBITED
s3-bucket-public-read-prohibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
s3-bucket-public-write-prohibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
sagemaker-notebook-no-direct-internet-access,SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS
ssm-document-not-public,SSM_DOCUMENT_NOT_PUBLIC
subnet-auto-assign-public-ip-disabled,SUBNET_AUTO_ASSIGN_PUBLIC_IP_DISABLED
