ConfigRuleName,SourceIdentifier
access-keys-rotated,ACCESS_KEYS_ROTATED
account-part-of-organizations,ACCOUNT_PART_OF_ORGANIZATIONS
iam-customer-policy-blocked-kms-actions,IAM_CUSTOMER_POLICY_BLOCKED_KMS_ACTIONS
iam-group-has-users-check,IAM_GROUP_HAS_USERS_CHECK
iam-inline-policy-blocked-kms-actions,IAM_INLINE_POLICY_BLOCKED_KMS_ACTIONS
iam-no-inline-policy-check,IAM_NO_INLINE_POLICY_CHECK
iam-password-policy,IAM_PASSWORD_POLICY
iam-policy-no-statements-with-admin-access,IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
iam-policy-no-statements-with-full-access,IAM_POLICY_NO_STATEMENTS_WITH_FULL_ACCESS
iam-root-access-key-check,IAM_ROOT_ACCESS_KEY_CHECK
iam-user-group-membership-check,IAM_USER_GROUP_MEMBERSHIP_CHECK
iam-user-mfa-enabled,IAM_USER_MFA_ENABLED
iam-user-no-policies-check,IAM_USER_NO_POLICIES_CHECK
iam-user-unused-credentials-check,IAM_USER_UNUSED_CREDENTIALS_CHECK
mfa-enabled-for-iam-console-access,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
root-account-hardware-mfa-enabled,ROOT_ACCOUNT_HARDWARE_MFA_ENABLED
root-account-mfa-enabled,ROOT_ACCOUNT_MFA_ENABLED
